relative_path,sha256,bytes,release_class
analysis_config.json,7c470bb77d044d687317f82eca9fb7ff26e4794dad1614ed6352ca2a5981b3d4,5122,public
balance_ratio_fixed_size.csv,16b03dd74ffc30a7c2e761bc250b655c0749147a5465be00481aae8ba2905600,54739,public
balance_ratio_fixed_size_summary.csv,1565a04c90bce53d698342373f834c20247dce4fec46fea1153713b4cd23cb0e,712,public
balance_ratio_sensitivity.csv,faa17c70bb321423933fe49ab76908ac5273be36b7b667b45a6c7bd41a334917,53808,public
balance_ratio_sensitivity_summary.csv,286ce588809af239d447a6fde268ea4e63508db6d310ee5b0e853f5083985799,906,public
baseline_final_selected_configurations.csv,2d07f798816b943741aaca882b103c99c5663ef4b4b5439db818f2ab04aa31d4,864,public
baseline_final_tuning_full_grid.csv,797622c6cc0c8eee84b62b0ee61a271db3adc6dc0c74011a475a4e7dc08797b0,12457,public
baseline_selected_configurations.csv,f972d7ca46fd231f4646acadd610b2cb89c758934820f2d24974e2c4d44f6afa,7103,public
baseline_selection_summary.csv,24d6b321d7acf86a3526f4f87b9ae0c04005d33afe052d35cb5e3fd352f5a8b7,1336,public
baseline_tuning_full_grid.csv,c7ad595bf649a3e038171eccbed38b30e96ba4251ee0927f3f6b8c5e20af1b11,108900,public
calibrated_operating_threshold.json,297b2d7729207a4fa9132ce7c1aa5de9a44c2ba4d5b4e31976857e4023881455,357,public
calibrated_threshold_sensitivity_oof.csv,57164e149bb58c9a2d135391fa69e6b15df0042728d5a9b096a611a6c21eeb77,34259,public
calibration_by_partition.csv,371c10ab8506df6ffc87c67278b365c4558156e59fd6caebf1acd5fe975d3c32,816,public
calibration_curve_points.csv,d5bb2a18d2950e829560842c002105b69d6a3d67a37f2e20f5136838d52940c3,2744,public
checkpoint_storage_preflight.json,4d475a4969c0fdd80b36d26e778bf53718bdf4b65f9b8725dfb8da1b606d476e,331,public
claims_evidence_source.csv,0b1119549242e03a8c124651767bb18adee34f2625ec8607b42fe0000ff994d1,2643,public
closeout_balance_ratio_grid.csv,2ccd8c879e745a7b58e814c822890dd2e82448b3297db17f2f2869519bc26c3e,911,public
closeout_fit_site_review.csv,1b26d5f8d49c0ca2efe987da5a82cad2f2f9fcb1593bd7045d4b05b3165cdc1a,1207,public
closeout_fsii_all_retained.csv,b3eb2bd71d1f4bef421be57a6c6a5cb32fa40d3cd41c7e05e158d3fd9a7537ca,4668,public
closeout_fsii_section_3_4.csv,286b99a68c5430d4a6dcbfbd2389910d9e93cf6e8da93c3408a9b4aa84df147f,1247,public
closeout_heldout_full_grid.csv,9b256cf2a54c1901b84ffa6fdd5981df6f5966d5ea0d03195811617fb78bf8e9,1076,public
closeout_leave_one_fold_out.csv,4dc74c33c24bffaf3207101b7f7df49342cbcd94b222b453c41e718a7ff7086a,542,public
closeout_power_and_resolution.csv,fb3fa832bfbdf7891c8c5234a4c0e476c08bbabac5bbc0313c44fb5c21ee9b0b,533,public
closeout_run_integrity.csv,30b00bf532b99a7e21ef25f4bb18f2d15a714160ac8e22e1ec61723438f921c0,241,public
closeout_stability_summary.csv,34135a2bf78827cbb2d6f2a8a8f7fbd46a9635f9c1e55b4ac2d06c7ab5b2dac0,206,public
closeout_subgroup_table_held_out_test.csv,12e65edee3ac405572cb46df9c51f9734f4b0e9f0f9e100e2c2e494511dcda4d,4849,public
closeout_subgroup_table_nested_development_oof.csv,72171aecc036af9624be32e099c4f0db026e7b96298c4a03f6bc8d0274a76c91,5834,public
closeout_suppressed_driving_eod.csv,fd5a89d909b7578f3986e9d0792105bb7856ea4fed373250443a3029dacac3b7,802,public
closeout_ten_seed_stability.csv,b0f1cf4cb9d6b07c70193afc1f3dc8026c56a83dd7321d0866182fb0d631a7c6,2400,public
closeout_tuning_parity.csv,8f71f032f9db7ed8efb7397d692203f9587b8ca1be46c2787b25b2e07e33a666,243,public
closeout_verdict.csv,7a2c8a6eff96c180f0bb28dd62e78ad18b1ff84fb42bab98b9150be59a42f00a,1102,public
college_crosswalk_audit.csv,364ca68f0c7d4c0e6b80d93d3a75bdc6aaf2248dab1955e39b522af2a3053b4e,1511,public
common_method_diagnostic.csv,91f64f91322434fc021dce8956ffef89590ad75e2d1fb30183184eb11dc2919f,464,public
complete_case_sensitivity.csv,9df182575466f14d52eb0a67f28ad4b8396a3a0303cc676b6e54e2a9da359ff5,930,public
computational_cost.csv,2f2d8923613ab4b8888a6b7f8eb04eecacd3a71e3d31e3f8de49f6682b66e987,256,public
computational_run_accounting.csv,ac3a5f8b02f1b5109237226a55f6e46839783ee625912473441dcfa1af9ed56e,480,public
construct_feature_metric_map.csv,f333d1d2deb0e40d3d2ee974b015f6e4869985a4e688f5b2d043327159a784a6,5819,public
decision_provenance_register.csv,0e1cd9844f111b8a6aaf3fee6ba8b0857f33eb402cc5094a51e7e092066102bf,8051,public
decision_provenance_register.json,519df8548506220164f378d0c14860a1da825c485b3a8cf243b3d02e55c01197,14440,public
deployment_public_contract.json,b8a155966a2122edcbf49c0a9a48575163f7ff7116782ddabac6bf842020459f,2838,public
descriptive_feature_statistics.csv,a0e25580f5f653b5911fcb5ffc67e144bb7fe2f541e11989e618b286a626fbea,929,public
development_fold_metrics.csv,7bfc5375704c1e4c2eca876c5ec0bbc68e62beb07c23e7fc43ff17879b48cab2,35211,public
development_model_summary_mean_sd.csv,c855d35c826d587bed3d73e04a125b36abf79e08349b66adf118643e025992ff,2912,public
duplicate_response_audit.json,d0d5a86bafb5088233c7ec912989c325d866bd7352424957f50110b1d9e11956,287,public
effect_size_and_ci.csv,4b199fb06832756b58b73e67944fa0873e90f384ac49a77bc11a96d28fada304,638,public
environment.json,9d5bb8111e9fb0015ef211925a192bef764117725cacb5d7c3dc0e0c405a4cf3,349,public
fairness_equal_opportunity.csv,18dc53c0200d9c530c953e3e731e9bc44c22817594e94bb8668410d464a40c3f,3312,public
fairness_subgroups.csv,2ebcaac503f8de5de6ab7c5269bc73900e6a9f1a1ecd88a52afa817b4c70a584,18238,public
false_negative_missingness_summary.csv,bc3075330ff0d1530be48e26aa9e98e5062a493a8330c47c6e78fc360517b648,59,public
